,OWM,U-Net best (t=0.25),U-Net ensemble (majority vote)
12AUG30193433_sub2,0.0722,0.4706,0.4541
15JUL02193_sub_2,0.1734,0.9037,0.9173
16Sep2219_1b_Chiwawa,0.1104,0.8761,0.8864
16Sep2219_1b_Teanaway,0.0441,0.6751,0.7354
UGR_2017_08_30_103001007046C600_AOI_1,0.1237,0.7614,0.8129
UGR_2021_07_21_10300100C2972100_AOI_1,0.1757,0.8516,0.8439
Wenatchee_2014_08_27_10300100354F7A00_AOI,0.161,0.9096,0.9287
Wenatchee_2016_08_16_10400100214F5200_AOI_1,0.1308,0.8979,0.9214
Wenatchee_2019_07_26_104001004E554F00_AOI_1,0.1674,0.9483,0.966
Wenatchee_2022_11_09_104001007E867900_AOI_1,0.1645,0.8978,0.8978
Wenatchee_2025_02_07_103001010D0A1600_AOI_1,0.1092,0.4634,0.5151
cath_creek_2015_10_09_10300100496A4600_AOI_1,0.1082,0.6119,0.8963
cath_creek_2018_12_05_1040010046BF9000_AOI_1,0.0263,0.3907,0.3893
