scene,split,n_chips,year,month,season,lat,lon,water_frac
12AUG30193433_sub1,train/val,88,2012,8,Summer,48.03106915715402,-121.01051841762165,0.00573509389703924
12AUG30193433_sub2,test,125,2012,8,Summer,48.06700090653727,-120.93006269061924,0.003885162353515625
12AUG30193433_sub3,train/val,180,2012,8,Summer,48.085009293659894,-120.85285736594527,0.002201292249891493
15JUL02193_sub_1,train/val,137,2015,7,Summer,47.887869402533276,-120.99270762550725,0.0051635686498488825
15JUL02193_sub_2,test,423,2015,7,Summer,47.24772867616263,-121.18439089342715,0.013275200593556073
15JUL02193_sub_4,train/val,128,2015,7,Summer,47.01230495887576,-121.17896467663641,0.004632383584976196
15SEP22191123_sub1,train/val,201,2015,9,Autumn,47.52452130356803,-120.40799780400901,0.005863531311946129
15SEP22191123_sub_1,train/val,160,2015,9,Autumn,47.886013508919206,-120.4367020249045,0.0054064512252807615
16Sep2219_1b_Chiwawa,test,169,2016,9,Autumn,47.926390385280854,-120.75623103916762,0.018645224486582377
16Sep2219_1b_Nason_Sub_1,train/val,48,2016,9,Autumn,47.79156672160474,-120.72027809093723,0.031548500061035156
16Sep2219_1b_Teanaway,test,111,2016,9,Autumn,47.27792004232977,-120.88767768823963,0.0035259143726245777
16Sep2219_1b_Tumwater_Can_1,train/val,66,2016,9,Autumn,47.61571803773946,-120.72256803425083,0.04216049656723485
16Sep2219_1b_Tumwater_Can_2,train/val,36,2016,9,Autumn,47.645669122564044,-120.72704951557051,0.058269500732421875
16Sep2219_1b_Yakima_big,train/val,137,2016,9,Autumn,47.18281872054094,-120.83520160100021,0.023184838956289918
16Sep2219_1b_white_sub,train/val,90,2016,9,Autumn,47.85643103754348,-120.85838818988586,0.038577906290690106
UGR_2011_06_14_103001000C790C00_AOI_1,train/val,77,2011,6,Summer,45.098067144896696,-118.42968234602007,0.01178493747463474
UGR_2015_03_03_103001003D848700_AOI_1,train/val,18,2015,3,Spring,45.08762420453417,-118.44649192956075,0.011972003512912326
UGR_2015_03_03_1030010040089A00_AOI_1,train/val,288,2015,3,Spring,45.11519792900619,-118.41026147379527,0.00603432125515408
UGR_2015_06_17_1030010042620000_AOI_1,train/val,72,2015,6,Summer,45.12582735124333,-118.49387373145305,0.003006352318657769
UGR_2017_08_30_103001007046C600_AOI_1,test,384,2017,8,Summer,45.26707073332623,-118.39832193731424,0.004127631584803264
UGR_2017_09_10_103001006F4F2700_AOI_1,train/val,72,2017,9,Autumn,45.26868554612206,-118.42471583644974,0.005822234683566623
UGR_2021_07_21_10300100C2972100_AOI_1,test,168,2021,7,Summer,45.11320564103704,-118.40221552822868,0.006750515529087612
