scene,chips,water_frac,micro_f1,precision,recall,iou
cath_creek_2018_12_05_1040010046BF9000_AOI_1,319,0.0027,0.3907,0.3846,0.3971,0.2428
Wenatchee_2025_02_07_103001010D0A1600_AOI_1,338,0.018,0.4634,0.3068,0.946,0.3016
12AUG30193433_sub2,125,0.0039,0.4706,0.3158,0.9234,0.3077
cath_creek_2015_10_09_10300100496A4600_AOI_1,359,0.0053,0.6119,0.4774,0.852,0.4408
16Sep2219_1b_Teanaway,111,0.0035,0.6751,0.6073,0.7598,0.5095
UGR_2017_08_30_103001007046C600_AOI_1,384,0.0041,0.7614,0.7307,0.7947,0.6147
UGR_2021_07_21_10300100C2972100_AOI_1,168,0.0068,0.8516,0.8942,0.8129,0.7416
16Sep2219_1b_Chiwawa,169,0.0186,0.8761,0.862,0.8907,0.7796
Wenatchee_2022_11_09_104001007E867900_AOI_1,760,0.0825,0.8978,0.9363,0.8623,0.8145
Wenatchee_2016_08_16_10400100214F5200_AOI_1,908,0.0211,0.8979,0.8399,0.9645,0.8147
15JUL02193_sub_2,423,0.0133,0.9037,0.936,0.8735,0.8243
Wenatchee_2014_08_27_10300100354F7A00_AOI,240,0.0128,0.9096,0.9366,0.8841,0.8342
Wenatchee_2019_07_26_104001004E554F00_AOI_1,484,0.0197,0.9483,0.9447,0.9519,0.9016
