scene,chips,water_frac,micro_f1,precision,recall,iou
cath_creek_2018_12_05_1040010046BF9000_AOI_1,319,0.0027,0.3893,0.3601,0.4236,0.2417
12AUG30193433_sub2,125,0.0039,0.4541,0.3037,0.9002,0.2938
Wenatchee_2025_02_07_103001010D0A1600_AOI_1,338,0.018,0.5151,0.3537,0.9476,0.3469
16Sep2219_1b_Teanaway,111,0.0035,0.7354,0.6552,0.8379,0.5815
UGR_2017_08_30_103001007046C600_AOI_1,384,0.0041,0.8129,0.8469,0.7815,0.6847
UGR_2021_07_21_10300100C2972100_AOI_1,168,0.0068,0.8439,0.9074,0.7887,0.73
16Sep2219_1b_Chiwawa,169,0.0186,0.8864,0.8719,0.9013,0.7959
cath_creek_2015_10_09_10300100496A4600_AOI_1,359,0.0053,0.8963,0.9324,0.8629,0.8121
Wenatchee_2022_11_09_104001007E867900_AOI_1,760,0.0825,0.8978,0.9441,0.8558,0.8145
15JUL02193_sub_2,423,0.0133,0.9173,0.9374,0.898,0.8472
Wenatchee_2016_08_16_10400100214F5200_AOI_1,908,0.0211,0.9214,0.8849,0.9611,0.8543
Wenatchee_2014_08_27_10300100354F7A00_AOI,240,0.0128,0.9287,0.9434,0.9144,0.8669
Wenatchee_2019_07_26_104001004E554F00_AOI_1,484,0.0197,0.966,0.9581,0.974,0.9342
